Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Ackron,48,onshore,,Airvolution Energy Ltd,Statkraft (100%),,,12,4,,Scotland,Caithness,Scotland,"Ackron Farm, Golval, Forsinard",,Highland Council,19/01709/SCOP,58.5338,-3.87036,NC 91200 62150,,149.9,,Development,Scoping,23-Oct-19,,,,,,,,,storage,storage: Ackron Battery Storage [Scoping Opinion Issued] ?MW,"23/10/2019 Scoping ;
06/06/2019 Scoping Opinion Issued ;
12/04/2019 Scoping ;
14/05/2015 Scoping Opinion Issued ;
25/03/2015 Scoping",,,,,,,,,,,,,23-Oct-19,Statkraft has submitted a revised Scoping Report for ackron wind farm. The revised proposal revises the site boundaries and reduces the number of turbines from 14 to 12.,RenewableUK comment
Aignish Community Wind Farm,10,onshore,,Community Owned Project,Community Owned Project (100%),,,2,5,,Scotland,Western Isles,Scotland,"Lochs Road, Lochs, Isle Of Lewis",,Western Isles / Comhairle nan Eilan Siar,18/00350/SCO_L,58.1928,-6.45143,,94,145,128,Development,Scoping Opinion Issued,16-Oct-18,,,,,,,,,,,"16/10/2018 Scoping Opinion Issued ;
27/08/2018 Scoping",,,,,,,,,,,,,27-Aug-18,A scoping opinion request has been submitted for Aignish Community Wind Farm. The projects consists of two turbines located at turbine positions 28 and 30 of the consented Stornoway wind farm. Aignish Community wind farm would only be developed should the currently consented project be unable to proceed.,RenewableUK comment
Alwen Forest,33,onshore,,Innogy Renewables UK Ltd,Innogy Renewables UK Ltd (100%),,,9,3.66,,Wales,Conwy,North Wales,4km North of Cerrigydrudion. The infrastructure is within Conwy County Borough Council but part of the scoping application site is within Denbighshire County Council.,,Conwy County Borough Council,,53.0778,-3.56155,SH 95490 54533,,200,,Development,Scoping Opinion Issued,01-Oct-18,,,,,,,,,,,"01/10/2018 Scoping Opinion Issued ;
03/08/2018 Scoping ;
28/06/2018 Development",,,,,,,,,,,,,01-Oct-18,The Planning Inspectorate has issued its Scoping Opinion for Innogy's proposed Alwen Forest wind farm which is a Development of National Significance.,RenewableUK comment
Armadale,48,onshore,,Brookfield Renewable UK Ltd,Brookfield Renewable UK Ltd (100%),,,16,3,,Scotland,Caithness,Scotland,"Cromsac Hill, Land 1100M South Of Armadale Farm, Armadale",,Highland Council,16/05807/SCOP,58.5347,-4.07695,NC 79177 62603,,145,,Development,Scoping Opinion Issued,16-Feb-17,,,,,,,,,,,"16/02/2017 Scoping Opinion Issued ;
21/12/2016 Scoping",,,,,,,,,,,,,,,
Auchenlongford,20,onshore,,Wind Estate (UK) Ltd,Wind Estate (UK) Ltd (100%),,,5,4,,Scotland,East Ayrshire,Scotland,"Mauchline, KA5 6JF",,East Ayrshire Council,19/0013/PAA,55.5255,-4.25204,NS 57937 28057,,140,,Development,Development,05-Sep-19,,,,,,,,,,,05/09/2019 Development,,,,,,,,,,,,,,,
Bachan Burn,51,onshore,,Brookfield Renewable UK Ltd,Brookfield Renewable UK Ltd (100%),,,17,0,,Scotland,Argyll & Bute,Scotland,Cowal and Trossachs Forest,,Argyll and Bute Council,,55.9327,-4.97226,NS 14429 75062,78,119,,Development,Development,18-Aug-17,,,,,,,,,,,18/08/2017 Development,,,,,,,,,,,,,18-Aug-17,The Scottish Government Energy Consents Unit met with Brookfield on 16th August 2017 to finalise the submission of the application for Bachan Burn. It is anticipated that the application will be submitted on 27th November 2017.,RenewableUK comment
Back Hareshaw Farm,20,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,5,4,,Scotland,South Lanarkshire,Scotland,"Back Hareshaw Farm, C138 Hairshaw Highway, Strathaven,  ML10 6QN",,South Lanarkshire Council,P/19/1278,55.6426,-4.1962,NS 61873 40974,,150,,Development,Scoping,21-Aug-19,,,,,,,,,,,"21/08/2019 Scoping ;
03/04/2019 Scoping Opinion Issued ;
12/03/2019 Scoping ;
11/07/2018 Scoping Opinion Issued ;
11/06/2018 Scoping",,,,,,,,,,,,,21-Aug-19,Cleanearth has submitted a Scoping Opinion Report for Back Hareshaw wind farm consisting of five turbines with maximum tip height of 150m.,RenewableUK comment
Bad Fearn,49.9,onshore,,Energiekontor UK Ltd,Energiekontor UK Ltd (100%),,,10,4.99,,Scotland,Highland,Scotland,"Braemore Road, Dunbeath",,Highland Council,19/02927/SCOP,58.2659,-3.49885,ND 12163 31777,115,200,,Development,Scoping Opinion Issued,22-Aug-19,,,,,,,,,storage,storage: Bad Fearn Battery Storage [Scoping Opinion Issued] ?MW,"22/08/2019 Scoping Opinion Issued ;
28/06/2019 Scoping ;
05/06/2019 Development",,,,,,,,,,,,,22-Aug-19,The Highland Council has issued its Scoping Application Decision.,RenewableUK comment
Balbeg Farm,1,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,1,,Scotland,Caithness,Scotland,"Land 625M SE Of Achanarras Quarry, Halkirk",,Highland Council,17/05744/SCRE,58.4646,-3.45619,ND 15145 53844,,130,,Development,Scoping Opinion Issued,09-Jan-18,,,,,,,,,,,"09/01/2018 Scoping Opinion Issued ;
11/12/2017 Scoping ;
30/11/2017 Scoping Opinion Issued ;
30/10/2017 Scoping",,,,,,,,,,,,,09-Jan-18,An Environmental Impact Assessment will be required to support a planning application at Balbeg Farm,RenewableUK comment
Ballygilbert,50.4,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,14,3.6,,Northern Ireland,Co. Antrim,Northern Ireland,"In the townlands of Ballycoos, Ballygawn, Ballygilbert, Lisnahay North, and Lisnahay South, and is approximately 3km North west of the village of Carncastle Larne",,DOE Strategic Planning Division,LA02/2019/0568/PAN,54.9232,-5.92642,NW 48510 65783,,149.9,,Development,Development,19-Jul-19,,,,,,,,,,,19/07/2019 Development,,,,,,,,,,,,,19-Jul-19,RES has submitted a proposal of application notice for Ballygilbert wind farm consisting of 14 turbines with tip heights up to 149.9m and a total installed capacity of up to 50.4MW,RenewableUK comment
Bank Top Farm,0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,England,Shropshire,West Midlands,"Neen Savage, Cleobury Mortimer, Kidderminster, DY14 8ER",,Shropshire Council,15/02840/SCR,52.3947,-2.48468,SO 67116 77524,30,,27,Development,Scoping Opinion Issued,02-May-18,,,,,,,,,,,"02/05/2018 Scoping Opinion Issued ;
01/07/2015 Scoping",,,,,,,,,,,,,02-May-18,Shropshire Council have advised that an EIA is not required to support a planning application for a 225kw turbine at Bank Top Farm. The Scoping Opinion request was submitted in July 2015.,RenewableUK comment
Beld Hill,4.8,onshore,,Green Cat Renewables Ltd,Green Cat Renewables Ltd (100%),,,6,0.8,,Scotland,Perth & Kinross,Scotland,Auchterarder,,Perth & Kinross Council,15/00099/SCOP,56.2814,-3.64424,NN 98300 11100,,86.5,,Development,Scoping Opinion Issued,03-Mar-15,,,,,,,,,,,"03/03/2015 Scoping Opinion Issued ;
19/01/2015 Scoping",,,,,,,,,,,,,19-Jan-15,Green Cat Renewables has submitted a scoping report for a proposed wind farm at Beld Hill,RenewableUK comment
Ben Sca,36,onshore,,Wind 2 Ltd,Wind 2 Ltd (100%),,,9,4,,Scotland,Highland,Scotland,"Land 2800M SW Of Edinbane Primary School, Edinbane, Portree",,Highland Council,18/05240/SCOP,57.4432,-6.44254,NG 33545 47925,,135,,Development,Scoping Opinion Issued,25-Jan-19,,,,,,,,,storage,storage: Ben Sca Battery Storage [Scoping Opinion Issued] ?MW,"25/01/2019 Scoping Opinion Issued ;
08/11/2018 Scoping",,,,,,,,,,,,,20-Mar-19,Wind 2 Ltd have submitted a proposal of application notice for Ben Sca wind farm.,RenewableUK comment
Berry Burn Extension,42,onshore,,Airvolution Clean Energy Ltd,Statkraft (100%),,,10,4.2,,Scotland,Moray,Scotland,"Altyre Estate, Forres",,Moray Council,,57.4865,-3.51863,NJ 09055 45051,,149.9,,Development,Scoping Opinion Issued,23-Jan-19,,,,,,,,,,,"23/01/2019 Scoping Opinion Issued ;
25/10/2018 Scoping",,,,,,,,,,,,,23-Jan-19,The Scottish Government Energy Consents Unit has issued a Scoping Opinion on behalf of Scottish Ministers for Berry Burn Extension.,RenewableUK comment
Bhlaraidh Extension,100,onshore,,SSE Renewables,SSE Renewables (100%),,,20,5,,Scotland,Highland,Scotland,"West of Loch Ness, adjacent to Bhlaraidh wind farm.",,Highland Council,ECU00001900,57.253,-4.67484,NH 38732 21202,,180,158,Development,Scoping,11-Jul-19,,,,,,,,,storage,storage: Bhlaraidh Extension Battery Storage [Scoping] ?MW,11/07/2019 Scoping,,,,,,,,,,,,,11-Jul-19,SSE has submitted a Scoping Opinion Report for the proposed Bhlaraidh Extension wind farm.,RenewableUK comment
Braelangwell,120,onshore,,Brookfield Renewable UK Ltd,Brookfield Renewable UK Ltd (100%),,,20,6,,Scotland,Highland,Scotland,Land 1500M North Of The Schoolhouse Ardgay,,Highland Council,ECU00001885,57.9196,-4.50863,NH 51500 95000,,180,136,Development,Scoping,05-Jul-19,,,,,,,,,,,"05/07/2019 Scoping ;
13/02/2017 Scoping Opinion Issued ;
22/12/2016 Scoping",,,,,,,,,,,,,05-Jul-19,Brookfield has submitted a revised Scoping Opinion Report for its proposed Braelangwell wind farm. Tip heights up to 180m are now proposed for 20 turbines each with generating capacity in the region of 4 to 6MW.,RenewableUK comment
Brechfa North,27,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,9,3,,Wales,Carmarthenshire,Mid Wales,"Land surrounding Bryn Llywelyn farm, Llanllwni, Pencarder",,Carmarthenshire County Council,,52.0089,-4.17727,SN 50660 36738,100,150,100,Development,Scoping Opinion Issued,30-Sep-16,,,,,,,,,,,"30/09/2016 Scoping Opinion Issued [estimate] ;
23/08/2016 Scoping",,,,,,,,,,,,,23-Aug-16,RES have submitted a Scoping Opinion Request for a wind Development of National Significance on land North of Brechfa Forest. The proposed project is significantly smaller then the previously refused Bryn Llewellyn project.,RenewableUK comment
Brenda Road West Industrial Estate,2.5,onshore,,Seneca Global Energy Ltd,Seneca Global Energy Ltd (100%),,,1,2.5,,England,County Durham,North East,Hartlepool,,Hartlepool Borough Council,H/2018/0275,54.6486,-1.21056,NZ 51039 28452,,99,82,Development,Scoping,10-Jul-18,,,,,,,,,,,"10/07/2018 Scoping ;
20/07/2016 Inactive ;
20/06/2014 Submitted (LPA)",20-Jun-14,(LPA) ,,,,,,,,,,,10-Jul-18,"A scoping opinion request has been submitted for a wind turbine with maximum tip height 99m and capacity of 2.5MW at Brenda Road West, Hartlepool. A proposed turbine submitted in 2014 at the same location was considered favourably by the council but following the intervention of the Secretary of State, consent was not forthcoming.",RenewableUK comment
Burnfoot Moor,2.7,onshore,,VG Consulting Ltd,Landowner (private or company) (100%),,,3,0.9,,Scotland,East Ayrshire,Scotland,Muirkirk,,East Ayrshire Council,17/0001/EIASCP,55.5256,-4.11961,NS 66295 27807,39,69.5,61,Development,Scoping Opinion Issued,19-Apr-17,,,,,,,,,,,"19/04/2017 Scoping Opinion Issued ;
16/03/2017 Scoping ;
16/03/2016 Development",,,,,,,,,,,,,,,
Cairnmore Hill,35,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,8,3.5,,Scotland,Caithness,Scotland,"Land 1360M NW Of Hill Of Foss Quarry, Hopefield, Janetstown, Thurso, KW14 7XU",,Highland Council,16/03124/SCOP,58.5945,-3.60905,ND 06574 68512,80,138.5,110,Development,Scoping Opinion Issued,08-Aug-16,,,,,,,,,,,"08/08/2016 Scoping Opinion Issued ;
06/07/2016 Scoping",,,,,,,,,,,,,20-Mar-19,"RES is holding a further set of project information events in April 2019 in order to update the community on the project and explain the changes to the design. RES is now in the final stages of design and has reduced the layout from 10 turbines to 8 turbines, with tip height increasing from 125m to up to 138.5m.",http://www.cairnmorehill-windfarm.co.uk/consultation/update-events-april-2019/
Callisterhall,175,onshore,,Enerco Energy Ltd,Enerco Energy Ltd (100%),,,25,7,,Scotland,Dumfries & Galloway,Scotland,4.25km west of Langholm,,Dumfries & Galloway Council,ECU00001951,55.1441,-3.18983,NY 24259 83957,,220,,Development,Scoping,30-Sep-19,,,,,,,,,,,30/09/2019 Scoping,,,,,,,,,,,,,30-Sep-19,E Power Ltd (Enerco Energy) has submitted a scoping opinion request for a proposed application for Callisterhall wind farm. 21 Turbines with tip heights up to 220m are proposed in land to the south of the existing Ewe Hill wind farm.,RenewableUK comment
Caskerdo Farm,3.5,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,3.5,,Scotland,Fife,Scotland,"Montrave, Kennoway, Cupar, KY15 5PN",,Fife Council,17/03928/SCR,56.2688,-2.9834,NO 39192 08913,,130,,Development,Scoping Opinion Issued,05-Mar-18,,,,,,,,,,,"05/03/2018 Scoping Opinion Issued ;
09/01/2017 Scoping",,,,,,,,,,,,,05-Mar-18,Fife Council have advised that an EIA will be required to support an application for a wind turbine at Caskerdo Farm,RenewableUK comment
Ceislein,19.9,onshore,,Whirlwind Renewables,Whirlwind Renewables (100%),,,6,3.3,,Scotland,Highland,Scotland,"adj to Novar Wind Farm, nr Evanton, Easter Ross",,Highland Council,,57.7102,-4.38638,NH 57918 71438,,125,104,Development,Development,24-Jan-14,,,,,,,,,,,24/01/2014 Development,,,,,,,,,,,,,,,
Charleston Farm,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,Highland,Scotland,"Land 750m NE Of 2 Lochend Holding, Barrock",,Highland Council,18/01820/SCRE,58.6104,-3.25444,ND 27217 69838,,135,,Development,Scoping Opinion Issued,04-May-18,,,,,,,,,,,"04/05/2018 Scoping Opinion Issued ;
19/04/2018 Scoping",,,,,,,,,,,,,04-May-18,The Highland Council have determined that an EIA will be required to support an application by Cleanearth for a single wind turbine at Charleston Farm,RenewableUK comment
Clare Wind Farm,71.4,onshore,,Partnerships for Renewables Development Company Ltd,Partnerships for Renewables Development Company Ltd (100%),,,21,3.4,,Scotland,Highland,Scotland,"Swordale Hill, Evanton",,Highland Council,15/02028/SCOP,57.6592,-4.45528,NH 53608 65909,,132,,Development,Scoping Opinion Issued,02-Jul-15,,,,,,,,,,,02/07/2015 Scoping Opinion Issued,,,,,,,,,,,,,02-Jul-15,The Scottish Government has issued its scoping opinion for the Clare wind farm.,RenewableUK comment
Clashindarroch II,70,onshore,,Vattenfall Wind Power Ltd,Vattenfall Wind Power Ltd (100%),,,14,5,,Scotland,Aberdeenshire,Scotland,Huntly,,Aberdeenshire Council,,57.4105,-2.88411,NJ 46983 35917,,180,,Development,Development,24-Feb-17,,,,,,,,,,,24/02/2017 Development,,,,,,,,,,,,,31-Aug-18,Vattenfall is seeking feedback from local residents and businesses on updated plans for the proposed Clashindarroch II wind farm. The latest revision features 14 turbines with tip heights of 180m based on 5MW class turbines.,https://group.vattenfall.com/uk/newsroom/news-press-releases/pressreleases/stories/updated-plans-for-north-east-wind-farm-on-show
Clauchrie,64,onshore,,ScottishPower Renewables,ScottishPower Renewables (100%),,,16,4,,Scotland,South Ayrshire,Scotland,4.6km North East of Barrhill.,,South Ayrshire Council,,55.1666,-4.6917,NX 28645 89112,,200,,Development,Scoping,21-Mar-19,,,,,,,,,storage,storage: Clauchrie Battery Storage [Scoping] ?MW,21/03/2019 Scoping,,,,,,,,,,,,,21-Mar-19,ScottishPower Renewables has submitted an EIA Scoping report to the Scottish Government Energy and Consents Unit for Clauchrie wind farm. The proposed development is anticipated to comprise appoximately 16 turbines with tup heights up to 200m.,RenewableUK comment
Cliffhope,322,onshore,,Community Windpower Ltd,Community Windpower Ltd (100%),,,46,7,,Scotland,Scottish Borders,Scotland,15.5km SE of Hawick,,Scottish Borders Council,,55.3061,-2.66093,NT 58141 01538,,200,,Development,Scoping,14-Sep-17,,,,,,,,,,,14/09/2017 Scoping,,,,,,,,,,,,,14-Sep-17,Community Windpower have submitted a scoping opinion request to Scottish Ministers for Cliffhope wind farm located in the Scottish Borders. The maximum tip height is anticipated to be up to 200m with an indicative capacity of each turbine between 5 and 7MW.,RenewableUK comment
Cloiche,,onshore,,SSE Renewables,SSE Renewables (100%),,,40,,,Scotland,Highland,Scotland,11 km to the south east of Fort Augustus,,Highland Council,,57.1094,-4.42801,NH 53049 04666,,175,,Development,Scoping,27-Aug-18,,,,,,,,,,,27/08/2018 Scoping,,,,,,,,,,,,,27-Aug-18,SSE Renewables has submitted a Scoping Opinion Report for a proposed wind farm adjacent to the Stronelairg wind farm. The proposed Cloiche wind farm could feature 40 turbines with tip heights up to 175m. The proposed operational capacity is unknown at this stage.,RenewableUK comment
Cnoc an Fhionn,26,onshore,,Vattenfall Wind Power Ltd,Vattenfall Wind Power Ltd (100%),,,13,2,,Scotland,Argyll & Bute,Scotland,4km south of Tarbert,,Argyll and Bute Council,,55.8057,-5.40982,NR 86410 62201,,110,,Development,Development,14-Oct-14,,,,,,,,,,,14/10/2014 Development,,,,,,,,,,,,,14-Oct-14,Vattenfall is exploring the potential for developing a wind energy project on a site known as Cnoc an Fhionn.,https://corporate.vattenfall.co.uk/projects/wind-energy-projects/cnoc-an-fhionn-argyll-and-bute/
Cogle Moss Extension,42,onshore,,Muirden Energy,Muirden Energy (100%),,,14,3,,Scotland,Highland,Scotland,"Watten, Caithness",,Highland Council,18/02355/SCOP,58.4842,-3.22634,ND 28593 55761,,115,,Development,Scoping Opinion Issued,29-Jun-18,,,,,,,,,,,"29/06/2018 Scoping Opinion Issued ;
22/05/2018 Scoping",,,,,,,,,,,,,10-Sep-18,Muirden Energy have submitted a pre application notice to The Highland Council for the revised Cogle Moss wind farm which extends the consented project.,RenewableUK comment
Cornharrow (Resubmission),32,onshore,,Energiekontor UK Ltd,Energiekontor UK Ltd (100%),,,8,4,,Scotland,Dumfries & Galloway,Scotland,"Carsphairn, Dalry",,Dumfries & Galloway Council,19/1654/PAN,55.2206,-4.0746,NX 68124 93783,,149.9,,Development,Development,11-Oct-19,,,,,,,,,,,11/10/2019 Development,,,,,,,,,,,,Cornharrow,11-Oct-19,Energiekontor UK has submitted a proposal of application notice for a redesigned Cornharrow wind farm following the dismissal of an appeal of an earlier submission. The new proposal consists of eight turbines with tip heights up to 149.9m,RenewableUK comment
Corriemoillie (Beinn a' Bhric),,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,Highland,Scotland,"Gorstan, Garve",,Highland Council,18/04341/SCRE,57.6499,-4.77269,NH 34634 65604,,135,,Development,Scoping Opinion Issued,03-Oct-18,,,,,,,,,,,"03/10/2018 Scoping Opinion Issued ;
06/09/2018 Scoping",,,,,,,,,,,,,03-Oct-18,The Highland Council have considered that an Environmental Impact Assessment is not required for the proposed Corriemoillie single wind turbine development.,RenewableUK comment
Cottage Farm (Leicestershire),2.5,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,2.5,,England,Leicestershire,East Midlands,"Brascote Lane, Cadeby, Nuneaton CV13 0BB",,Hinckley & Bosworth Borough Council,17/00602/SCOPE,52.6183,-1.35656,SK 43659 02475,,130,,Development,Scoping Opinion Issued,04-Jul-17,,,,,,,,,,,"04/07/2017 Scoping Opinion Issued ;
14/06/2017 Scoping",,,,,,,,,,,,,14-Jun-17,Cleanearth Energy have requested a formal EIA screening opinion for the erection of a single turbine at Cottage Farm,RenewableUK comment
Creag Dhubh,27,onshore,,Muirden Energy,Muirden Energy (100%),,,9,3,,Scotland,Argyll & Bute,Scotland,Loch Awe,,Argyll and Bute Council,19/00599/PAN,56.1983,-5.01262,NN 13199 04719,,139,,Development,Development,19-Mar-19,,,,,,,,,,,"19/03/2019 Development ;
07/06/2012 Withdrawn from scoping (pre application) ;
05/07/2010 Scoping",,,,,,,,,,,,,19-Mar-19,Muirden Energy has submitted a Proposal of Application notice for Creag Dubh wind farm. The proposal would consist of 9 turbines with a tip height up to 139m and generating capacity of 3MW each. Creag Dhubh Renewables LLP is a partnership comprising members of Scotland’s agricultural sector.,https://www.creagdhubhwindfarm.co.uk/
Crossbankhead Farm,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,Dumfries & Galloway,Scotland,"Waterbeck, DG11 3HJ",,Dumfries & Galloway Council,18/1647/SCO,55.1089,-3.18493,NY 24505 80033,,135,,Development,Scoping Opinion Issued,14-Feb-19,,,,,,,,,,,"14/02/2019 Scoping Opinion Issued ;
27/10/2018 Scoping ;
26/10/2018 Scoping Opinion Issued ;
17/08/2018 Scoping",,,,,,,,,,,,,14-Feb-19,"Dumfries & Galloway Council has issued a Scoping Opinion for Cleanearth's proposed 135m tip turbine at Crossbankhead Farm, Waterbeck.",RenewableUK comment
Daer (Dumfries & Galloway),60,onshore,,E.ON Climate & Renewables UK Ltd,E.ON Climate & Renewables UK Ltd (100%),,,12,5,,Scotland,Dumfries & Galloway,Scotland,West of Moffat,,Dumfries & Galloway Council,,55.3361,-3.60526,NS 98274 05851,,170,,Development,Scoping,11-Dec-18,,,,,,,,,,,11/12/2018 Scoping,,,,,,,,,,,,,14-Jan-19,E.on have submitted a Scoping Report for the proposed Daer windfarm in South Lanarkshire and Dumfries & Galloway.,RenewableUK comment
Daer (South Lanarkshire),15,onshore,,E.ON Climate & Renewables UK Ltd,E.ON Climate & Renewables UK Ltd (100%),,,3,5,,Scotland,South Lanarkshire,Scotland,West of Moffat,,South Lanarkshire Council,,55.3425,-3.57852,NS 99986 06525,,170,,Development,Scoping,11-Dec-18,,,,,,,,,,,"11/12/2018 Scoping ;
22/12/2011 Development",,,,,,,,,,,,,14-Jan-19,E.on have submitted a Scoping Report for the proposed Daer windfarm in South Lanarkshire and Dumfries & Galloway.,RenewableUK comment
Dalchork,135,onshore,,E.ON Climate & Renewables UK Ltd,E.ON Climate & Renewables UK Ltd (100%),,,45,3,,Scotland,Highland,Scotland,N of Lairg,,Highland Council,,58.1319,-4.42278,NC 57432 18447,,150,,Development,Development,01-Feb-13,,,,,,,,,,,01/02/2013 Development,,,,,,,,,,,,,,,
Dalmellington Farm,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,East Ayrshire,Scotland,"Ayr, KA6 7QA",,East Ayrshire Council,18/0014/EIASCR,55.3178,-4.46236,NS 43844 05399,,135,,Development,Scoping Opinion Issued,31-Aug-18,,,,,,,,,,,"31/08/2018 Scoping Opinion Issued ;
14/08/2018 Scoping",,,,,,,,,,,,,31-Aug-18,East Ayrshire Council have issued a screening opinion on a single wind turbine at Dalmellington Farm. An EIA would be required to support any proposed application.,RenewableUK comment
Drumtee Farm,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,East Ayrshire,Scotland,"Kilmarnock, KA3 6ET",,East Ayrshire Council,18/0016/EIASCR,55.682,-4.38504,NS 50141 45750,,135,,Development,Scoping Opinion Issued,08-Nov-18,,,,,,,,,,,"08/11/2018 Scoping Opinion Issued ;
11/09/2018 Scoping",,,,,,,,,,,,,08-Nov-18,East Ayrshire Council have decided that an EIA is required to support an application for a single wind turbine at Drumtee Farm.,RenewableUK comment
East Merkland Farm,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,South Lanarkshire,Scotland,"High Kype Road, Strathaven, ML10 6PR",,South Lanarkshire Council,P/18/0828,55.6393,-4.05068,NS 71019 40320,,135,,Development,Scoping Opinion Issued,04-Oct-18,,,,,,,,,,,"04/10/2018 Scoping Opinion Issued ;
11/06/2018 Scoping",,,,,,,,,,,,,11-Jun-18,Cleanearth has submitted a screening opinion request for a single 135m tip height turbine at East Merkland Farm.,RenewableUK comment
Easter Aberchalder Extension,0.5,onshore,,Ecodyn Ltd,Landowner (private or company) (100%),Windflow,Windflow 45-500,1,0.5,Horizontal axis turbine,Scotland,Highland,Scotland,"Land 1820M South Of Easter Aberchalder House, Gorthleck, Inverness",,Highland Council,15/02454/SCRE,57.2289,-4.37455,NH 56750 17855,31.5,54,45,Development,Scoping,23-Jun-15,,,,,,,,,,,23/06/2015 Scoping,,,,,,,,,,,,,23-Jun-15,A screening request has been submitted for an additional Windflow turbine at Easter aberchalder,RenewableUK comment
Easter Howlaws Farm Turbine 3,0.1,onshore,,AE Associates,Landowner (private or company) (100%),Northern Power Systems,NPS100C-24,1,0.1,Horizontal axis turbine,Scotland,Scottish Borders,Scotland,Greenlaw,,Scottish Borders Council,18/00636/SCR,55.6791,-2.4507,NT 71756 42935,36.6,48.8,24.4,Development,Scoping Opinion Issued,12-Jul-18,,,,,,,,,,,"12/07/2018 Scoping Opinion Issued ;
23/05/2018 Scoping",,,,,,,,,,,,,12-Jul-18,Scottish Borders Council have determined that an EIA is not required to support an application for an additional 100kw turbine at Easter Howlaws Farm.,RenewableUK comment
